Gathang,English
Baara,Old Bar
baawa,photo
Baka Waka,Bucka Wauka
bakuwi,totem
balaybak,black wattle tree
Bangwaal,Bungwahl
Baril,Burrell Creek
barray,dirt
batji,bite
batjiyak,termite
bawul,fowl
bilama djukal,flood
biluun,stingray
Biyang,God
bulgi barray,drought
bumiray,grass tree
butawaa,water rat
Butawaa,Bootawa
butibuti,plenty of bees
butibuti,plenty of honey
Buti Buti,Booti Booti National Park
Dapin,Tappin Tops National Park
gimang,kangaroo rat
Gindul,Cundletown
Girriwa,Gearywah
Gubarrbung,Cooperbung
Gukangbang,Coocumbac Island
Gulamgulambaa,Gulam Gulamba
Gulanbang,Kooloonbang Creek
gulawayn,koala
Gurang,Corakh
Gundaybung,Kundibakh
Guraang,Karaak Flat
Guruk,Port Macquarie
Gurabang,Koorabakh
Nabiyak,Nabiac
ngaay,spouse
Wabigung,Wobbegong Bay
Wambutj,Comboyne
wambuyn,kangaroo
waluya,large kangaroo
waluya barrang,red kangaroo
wapinbak,rose gum tree
warrigal,dog
wati,tree
watuun,white
wayibala,whitefella
witjagit,emu
wuba,make
wulul,grub
